Sample;Dataset;Known IDH status;Predicted IDH status
aml_ohsu_2022_2228_BA2951;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2230_BA2645;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2231_BA2094;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2231_BA2561;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2232_BA2744;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2234_BA2454;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2235_BA2782;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2236_BA3011;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2238_BA2249;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2238_BA2579;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2238_BA2829;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2239_BA3006;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2240_BA2229;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2241_BA2463;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2241_BA2737;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2242_BA2836;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2244_BA2722;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2245_BA2357;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2246_BA2494;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2247_BA2234;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2248_BA2308;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2248_BA2413;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2250_BA2441;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2251_BA2109;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2254_BA2600;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2255_BA2704;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2257_BA2512;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2259_BA2546;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2260_BA2412;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2261_BA2910;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2262_BA3025;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2263_BA2440;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2265_BA2046;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2266_BA2685;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2267_BA2044;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2268_BA2353;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2268_BA2830;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2269_BA2922;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2270_BA2050;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2270_BA2334;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2271_BA2865;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2273_BA2871;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2274_BA2841;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2275_BA2844;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2276_BA2369;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2278_BA3038;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2279_BA2948;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2280_BA2011;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2280_BA2644;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2281_BA2995;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2282_BA2218;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2283_BA2538;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2284_BA2450;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2284_BA2824;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2284_BA2994;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2285_BA2806;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2286_BA2667;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2288_BA2681;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2289_BA2688;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2290_BA2597;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2291_BA2201;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2292_BA2386;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2292_BA2879;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2292_BA3400;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2294_BA2276;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2297_BA2168;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2298_BA2360;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2300_BA2808;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2301_BA2153;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2301_BA2674;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2301_BA2809;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2303_BA2281;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2304_BA2000;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2305_BA2110;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2306_BA2828;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2307_BA2414;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2308_BA2526;AML-OHSU-2022;;pIDH-MUT
aml_ohsu_2022_2309_BA2726;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2310_BA2124;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2313_BA2707;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2314_BA2603;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2316_BA2233;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2318_BA2022;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2320_BA2184;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2321_BA2171;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2322_BA2837;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2323_BA2532;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2324_BA3027;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2326_BA2239;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2327_BA2970;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2328_BA2502;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2329_BA2559;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2330_BA2375;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2332_BA2989;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2333_BA2417;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2334_BA2251;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2336_BA2302;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2337_BA2363;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2338_BA2198;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2339_BA2564;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2340_BA2286;AML-OHSU-2022;;pIDH-MUT
aml_ohsu_2022_2341_BA2174;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2342_BA2139;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2343_BA2093;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2344_BA3001;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2345_BA2227;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2346_BA2709;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2347_BA2621;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2348_BA2992;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2350_BA2459;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2351_BA2539;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2354_BA2405;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2356_BA2121;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2358_BA2081;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2362_BA2479;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2363_BA2209;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2364_BA2870;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2365_BA2019;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2366_BA2714;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2366_BA3317;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2367_BA2570;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2368_BA2639;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2369_BA2631;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2370_BA2053;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2371_BA2200;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2372_BA3036;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2373_BA2455;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2374_BA2480;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2376_BA2856;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2377_BA2507;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2378_BA2104;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2381_BA2394;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2382_BA2175;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2383_BA2133;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2383_BA2473;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2385_BA2377;AML-OHSU-2022;IDH-WT;
